# 职场与商务 / Workplace & Business
## cat: work-comm
succinct | 简洁扼要的：话不多但要点全在
mentorship | 师徒制：由资深者长期指导新人
sponsorship | 举荐：在你不在场的房间里为你说话
networking | 人脉经营：主动建立并维护职业关系
visibility | 可见度：你的工作被多少人看见与认可
scope | 职责范围：一个人负责的面有多宽
impact | 影响力：工作对组织结果的实际改变
leverage | 杠杆：以较小投入撬动较大产出
burnout | 职业倦怠：长期高压导致的耗竭状态
boundaries | 边界：对工作侵占生活的限度
sabbatical | 长假：较长的离岗休整期
relocation | 调岗搬迁：为工作迁往另一城市或国家
sponsorship-visa | 工签担保：雇主为外籍员工申办工作签证
tenure | 任职年限：在某岗位或公司待的时长
