# 安全与密码学 / Security & Cryptography
## cat: sec-crypto
cipher | 密码算法：执行加解密的算法及其工作模式
persistence | 持久化驻留：让访问权在重启或清理后依然存在
lateral | 横向移动的：拿下一台机器后向内网其他机器扩散
exfiltration | 数据外带：把窃取的数据悄悄送出网络
ransomware | 勒索软件：加密受害者数据并索要赎金的恶意程序
phishing | 钓鱼：伪装成可信方骗取凭据或点击
pretexting | 借口攻击：编造情境骗取信任与信息
spoofing | 伪造：伪造来源地址或身份以冒充他人
tampering | 篡改：未经授权地修改数据或消息
replay | 重放：截获合法消息后原样再发一次
downgrade | 降级攻击：诱使双方改用更弱的旧协议
side-channel | 侧信道的：从耗时、功耗、声音等物理泄漏中反推秘密
timing | 计时攻击的：从运算耗时差异推断秘密
fault | 故障注入的：故意制造错误以让芯片泄露信息
supply-chain | 供应链的：从依赖、构建或分发环节下手
watering-hole | 水坑攻击的：污染目标常去的第三方站点
brute-force | 暴力破解的：把所有可能穷举一遍
credential-stuffing | 撞库：拿别处泄露的账号密码到本站批量尝试
rainbow | 彩虹表的：预先算好的哈希反查表
malware | 恶意软件：以破坏、窃取或勒索为目的的程序
rootkit | 内核级后门：藏在系统底层、难以被发现的恶意程序
backdoor | 后门：绕过正常认证的隐蔽入口
botnet | 僵尸网络：被同一控制端操纵的大量受感染主机
amplification | 放大攻击的：用小请求换来大响应以放大流量
reflection | 反射攻击的：借第三方服务器把流量弹向受害者
## cat: sec-def
hardening | 加固：关掉不必要的功能、收紧配置以缩小攻击面
mitigation | 缓解措施：降低危害但未根除问题的手段
patching | 打补丁：为已知漏洞发布并部署修复
sandboxing | 沙箱化：把代码关进受限环境，限制它能碰到什么
isolation | 隔离：让各部分互不影响，一处失守不波及全局
segmentation | 网络分段：把网络切成互不相通的区域以限制横向移动
containment | 遏制：把已发生的入侵限制在尽可能小的范围
quarantine | 隔离：把可疑文件或主机限制在无害区域
detection | 检出：识别出正在发生或已发生的攻击
telemetry | 遥测：从系统持续采集并上报的运行数据
baselining | 基线刻画：先摸清正常状态，才认得出异常
anomaly | 异常：偏离既有正常基线的行为
signature-based | 基于特征的：靠已知恶意样本的指纹来识别
heuristic | 启发式的：靠经验规则而非确定特征来判断
honeypot | 蜜罐：故意暴露的诱饵系统，用来观察攻击者
canary | 金丝雀值：栈上或数据中的哨兵值，被改动即说明发生了溢出
tripwire | 绊线：一旦被触碰就立即告警的监控点
forensics | 取证：事后收集与分析证据以还原攻击过程
provenance | 来源溯源：产物由谁、经什么流程产生
integrity | 完整性：数据未被未授权地修改
confidentiality | 机密性：数据只对被授权者可见
availability | 可用性：需要时系统确实能用
nonrepudiation | 不可否认性：事后无法抵赖自己做过某操作
resilience | 韧性：受到攻击或故障后仍能恢复服务
redundancy | 冗余：多备一份，坏了还有替代
failover | 故障转移：主节点失效时自动切换到备用节点
threat | 威胁建模的：系统性地设想谁会怎么攻击你
adversary | 对手：威胁模型中假定的攻击者及其能力
surface | 攻击面：所有可能被攻击的入口的总和
posture | 安全态势：整体防护水平与暴露程度
compliance | 合规：满足法规或标准所要求的控制项
audit | 审计：留存并复核谁在何时做了什么
retention | 留存期：日志与数据保存多久
disclosure | 披露：把漏洞信息公开或告知厂商
bounty | 漏洞赏金：对报告漏洞者给予的报酬
remediation | 修复：把已发现的问题彻底解决掉
## cat: sec-iam
authentication | 认证：确认对方是谁
authorization | 授权：确定对方被允许做什么
identity | 身份：系统中用来指代某个主体的标识
principal | 主体：系统中可被授权的实体，如用户或服务
credential | 凭据：用来证明身份的东西，如口令、密钥或证书
token | 令牌：代表某种已授权状态的短期凭据
claim | 声明：令牌中断言身份或属性的一条信息
assertion | 断言：由身份提供方签名、供依赖方验证的身份声明
federation | 身份联邦：跨组织互认身份，无需各自建账号
provisioning | 账号开通：按需创建账户并授予权限
deprovisioning | 账号回收：离职或到期时及时收回权限
onboarding | 账号接入：把新成员纳入身份系统并配好权限
revocation | 吊销：让已签发的凭据提前失效
expiry | 过期：凭据到达有效期后自动失效
rotation | 轮换：定期更换密钥或口令以限制泄露窗口
issuance | 签发：由权威方生成并颁发凭据
introspection | 令牌内省：向签发方查询某令牌是否仍然有效
scope | 授权范围：令牌被允许访问的资源与操作
consent | 授权同意：用户明确同意应用代表自己访问数据
delegation | 委托：把自己的部分权限授予另一方
impersonation | 冒用身份：服务以某个用户的身份执行操作
privilege | 权限：主体被允许执行的操作集合
least-privilege | 最小权限的：只给完成任务所必需的权限
separation | 职责分离的：关键操作需要两个以上角色共同完成
role-based | 基于角色的：按角色而非按人分配权限
attribute-based | 基于属性的：按属性与环境条件动态判定权限
enforcement | 策略执行点：真正拦截并放行请求的那一层
policy | 策略：规定谁在什么条件下可以做什么的规则集
multifactor | 多因素的：需要口令之外的第二种凭据
biometric | 生物特征的：用指纹、面容等生理特征作为凭据
passwordless | 无口令的：改用设备与生物特征替代口令
session | 会话：一次登录到登出之间被服务器记住的状态
hijacking | 会话劫持：窃取会话凭据以冒用他人身份
fixation | 会话固定：诱使受害者使用攻击者已知的会话标识
lockout | 锁定：多次失败后暂时禁止登录
throttling | 限流：有意压低请求速率以抵御滥用
zero-trust | 零信任的：不因为在内网就默认信任任何请求
