# 技术英语 / Tech English
## cat: ai
autoregressive | 自回归的：逐个生成，每一步都以已生成内容为条件
contamination | 数据污染：评测集出现在预训练语料里
benchmark | 基准测试：用统一任务衡量系统或模型的表现
harness | 评测框架：统一跑模型与打分的工具
rubric | 评分标准：判定回答好坏的明确准则
adversarial | 对抗的：专门构造用来击溃模型的输入
jailbreak | 越狱：绕过模型安全限制的提示
guardrail | 护栏：限制模型输出边界的规则或模型
watermarking | 水印：在生成内容里嵌入可检测的标记
provenance | 来源溯源：产物由谁、经什么流程产生
## cat: algo
np-hard | NP 难的：至少和 NP 中最难的问题一样难
np-complete | NP 完全的：既属于 NP 又是 NP 难
reduction | 归约：把一个问题转化成另一个已知问题
intractability | 难解性：不存在多项式时间算法
approximation | 近似算法的：保证解不差于最优的某个倍数
randomized | 随机化算法的：用随机性换取速度或简洁
lasvegas | 拉斯维加斯型的：结果一定对，运行时间随机
montecarlo | 蒙特卡洛型的：运行时间确定，结果有小概率错
amortization | 摊还：把偶发的昂贵开销均摊到整串操作上
potential | 势能函数的：摊还分析中用来记账的函数
adversary | 对手论证的：假想一个最坏输入的构造者
lowerbound | 下界：任何算法都不可能比这更快
upperbound | 上界：已知算法能达到的复杂度
tight | 紧的：上界与下界相同
recurrence | 递推式：用自身较小规模来表达的等式
master | 主定理的：直接给出常见递推式复杂度的公式
memoization | 记忆化：缓存纯函数结果，相同参数只算一次
tabulation | 自底向上填表的：动态规划的迭代实现
subproblem | 子问题：原问题的更小规模版本
optimality | 最优子结构的：整体最优由子问题最优构成
overlapping | 重叠子问题的：同一子问题被反复求解
knapsack | 背包问题的：容量受限下的价值最大化
scheduling | 调度：在资源与顺序约束下安排任务
matching | 匹配：在图中选出两两不共端点的边集
flow | 网络流的：在容量限制下从源到汇的最大流量
cut | 割：把图分成两部分所需切断的边集
augmenting | 增广路径的：还能继续增加流量的路径
spanning | 生成树的：连接所有顶点且无环的边子集
shortest | 最短路的：两点之间权重和最小的路径
relaxation | 松弛：不断用更短的路径更新距离估计
dijkstra | Dijkstra 算法的：非负权图上的单源最短路算法
bellman-ford | Bellman-Ford 算法的：能处理负权边的最短路算法
floyd-warshall | Floyd-Warshall 算法的：一次算出所有点对最短路
union-find | 并查集：高效维护不相交集合的合并与查询
disjoint | 不相交集合的：元素被划分到互不重叠的组
adjacency | 邻接表／矩阵的：图的两种常见存储方式
sparse | 稀疏图的：边数远少于顶点数平方
dense | 稠密图的：边数接近顶点数平方
bipartite | 二分图的：顶点可分成两组且边只连接组间
planar | 平面图的：可以画在平面上而边不相交
clique | 团：任意两点都相邻的顶点子集
independent | 独立集的：任意两点都不相邻的顶点子集
coloring | 着色：给顶点上色使相邻顶点颜色不同
hamiltonian | 哈密顿的：恰好经过每个顶点一次
eulerian | 欧拉的：恰好经过每条边一次
segment | 线段树的：支持区间查询与修改的树结构
fenwick | 树状数组的：用位运算高效维护前缀和
suffix | 后缀数组／树的：处理字符串子串问题的结构
kmp | KMP 算法的：利用前缀函数实现线性串匹配
rabin-karp | Rabin-Karp 算法的：用滚动哈希做串匹配
rolling | 滚动哈希的：滑动窗口时增量更新哈希值
bloom | 布隆过滤器的：允许假阳性但绝无假阴性的集合判定
skiplist | 跳表：用多级索引实现有序表的对数查找
treap | 树堆：同时满足二叉搜索树与堆性质的随机化结构
balanced | 平衡的：树高被约束在对数级别
rotation | 旋转：调整树结构以恢复平衡的局部操作
persistent | 可持久化的：保留每次修改后的历史版本
immutable | 不可变的：创建后无法修改
lazy | 惰性求值的：用到时才真正计算
## cat: sde
architecture | 架构：系统的整体结构与关键取舍
modularity | 模块化：把系统拆成可独立理解与替换的部分
composability | 可组合性：小部件能拼成更大的部件而不失控
extensibility | 可扩展性：不改动既有代码即可加入新能力
maintainability | 可维护性：改动的代价是否随时间失控
readability | 可读性：别人读懂这段代码要花多大力气
testability | 可测试性：能否方便地为其编写自动化测试
observability | 可观测性：能否从外部输出推断内部状态
tractability | 可解性：是否存在实用的求解算法
coupling | 耦合：一个模块要了解另一个多少才能工作
cohesion | 内聚：模块内部职责的相关紧密程度
encapsulation | 封装：把内部状态藏在接口之后
inversion | 依赖倒置的：高层不依赖低层，二者都依赖抽象
injection | 依赖注入的：由外部把依赖传进来而非内部创建
composition | 组合优先的：用组合而非继承来复用行为
delegation | 委托：把请求转交给另一个对象处理
inheritance | 继承：子类沿用父类的结构与行为
overriding | 覆写：子类替换父类的实现
overloading | 重载：同名函数按参数不同分派
dispatch | 分派：决定实际调用哪个实现
virtual | 虚函数的：调用在运行时才确定
covariance | 协变的：子类型关系在容器上同向保持
contravariance | 逆变的：子类型关系在参数上反向
invariance | 不变性：变换之后性质保持不变
generics | 泛型：以类型为参数写出可复用的代码
monomorphization | 单态化：为每种具体类型生成一份专用代码
inference | 推理：用训练好的模型对新输入作前向计算
annotation | 类型标注：显式写出类型信息
soundness | 可靠性：类型系统不会放过真正的类型错误
completeness | 完备性：类型系统不会误报本来正确的程序
lint | 静态检查：不运行代码就找出可疑写法
formatter | 格式化工具：按统一风格自动排版代码
transpiler | 转译器：把一种高级语言翻译成另一种
bundler | 打包器：把多个模块合并成可发布的产物
minification | 压缩：删掉空白与长名字以缩小体积
treeshaking | 摇树优化：剔除从未被引用的代码
hoisting | 提升：声明在编译期被移到作用域顶部
closure | 闭包：捕获了外部变量的函数
currying | 柯里化：把多参函数拆成一串单参函数
memoization | 记忆化：缓存纯函数结果，相同参数只算一次
idempotence | 幂等性：执行一次与多次结果相同
purity | 纯度：函数是否无副作用且结果只依赖入参
side-effect | 副作用：函数除返回值之外对外界造成的改变
referential | 引用透明的：表达式可以被它的值直接替换
immutability | 不可变性：创建后不再修改，更新即产生新值
monad | 单子：把带上下文的计算串联起来的抽象
functor | 函子：可以把函数映射进容器内部的结构
combinator | 组合子：只靠参数组合出新行为的函数
recursion | 递归：函数以更小规模调用自身
tail | 尾递归的：递归调用是函数的最后一步，可被优化成循环
continuation | 续延：把"接下来要做什么"具体化为一个值
coroutine | 协程：能挂起并稍后恢复的函数
generator | 生成器：按需逐个产出值的函数
iterator | 迭代器：按需依次取出集合元素的对象
lazy | 惰性的：用到时才真正计算
backpressure | 背压：让上游放慢速度的反向信号
## cat: sys
scheduler | 调度器：决定谁在什么时候占用 CPU
preemptive | 抢占式的：调度器可以随时中断正在运行的任务
cooperative | 协作式的：任务主动让出才会被切换
context-switch | 上下文切换：保存一个任务的状态并载入另一个
affinity | 亲和性：把任务固定在特定 CPU 上运行
starvation | 饥饿：某任务长期得不到资源
livelock | 活锁：都在动却谁也没进展
priority | 优先级反转的：低优先级持锁挡住高优先级任务
spinlock | 自旋锁：忙等而非睡眠的锁
barrier | 屏障：所有线程都到达之后才继续
fence | 内存屏障：限制指令重排以保证可见性顺序
atomicity | 原子性：操作要么全做要么全不做
visibility | 可见性：一个线程的写何时能被别的线程看到
ordering | 顺序性：多个操作被观察到的先后关系
coherence | 缓存一致性：多核看到的同一地址内容保持一致
consistency | 一致性：多个副本对外表现是否一致
serializability | 可串行化：并发事务的效果等价于某个串行顺序
isolation | 隔离性：并发事务之间互不干扰的程度
durability | 持久性：提交后的数据即使断电也不丢
journaling | 日志式的：先写日志再改数据以便崩溃恢复
writeahead | 预写日志的：修改落盘之前先把意图记进日志
snapshot | 快照：某一时刻数据的一致性视图
copyonwrite | 写时复制的：共享到有人要改时才真正复制
paging | 分页：把内存切成固定大小的页来管理
swapping | 交换：把不常用的页换到磁盘上
thrashing | 抖动：不停换页导致几乎没有真正工作
fragmentation | 碎片化：可用空间被切散，难以满足大块分配
allocator | 分配器：负责分发与回收内存的组件
garbage | 垃圾回收的：自动回收不再可达的内存
refcount | 引用计数的：靠计数为零判断可回收
generational | 分代的：假设新对象更容易死，分代回收
compaction | 压实：把碎片化的存储合并成紧凑形式
mmap | 内存映射的：把文件直接映射进地址空间
zerocopy | 零拷贝的：数据不在内核与用户态之间反复复制
syscall | 系统调用：用户态请求内核代为执行特权操作
interrupt | 中断：硬件打断 CPU 以请求处理
polling | 轮询：主动反复查询而非等待通知
epoll | 事件多路复用的：一个线程等待大量文件描述符
async | 异步的：发起操作后不等结果继续往下走
nonblocking | 非阻塞的：调用立即返回而不等待就绪
## cat: net
ingress | 入向流量：进入网络或集群的流量
handshake | 握手：正式通信前协商参数的开场交互
keepalive | 保活：定期发包以确认连接仍然有效
backoff | 退避：失败后逐步拉长重试间隔
jitter | 抖动：延迟本身的波动
retransmission | 重传：确认未到时重新发送数据
acknowledgment | 确认：接收方告知已收到数据
window | 滑动窗口的：控制未确认数据量的流量机制
flowcontrol | 流量控制：避免发送方压垮接收方
congestion | 拥塞：链路或队列过载导致排队与丢包
slowstart | 慢启动：连接初期指数增长发送速率
mtu | 最大传输单元：链路一次能传的最大包长
fragment | 分片：把超过链路上限的包切成小块
ttl | 生存时间：包最多还能经过多少跳
hop | 跳：数据包经过的一个中间路由
route | 路由：决定包下一步走向的选择
bgp | 边界网关协议的：自治系统之间交换路由的协议
autonomous | 自治系统的：由同一机构统一路由策略的网络
anycast | 任播的：同一地址由最近的节点响应
unicast | 单播：一对一发送
multicast | 组播：一次发送、多个订阅者接收
cdn | 内容分发网络：把内容缓存到离用户更近的节点
edge | 边缘的：靠近终端用户的那一层
origin | 源站：内容真正存放的服务器
cache-control | 缓存控制的：告诉中间层能否与如何缓存
etag | 实体标签：用来判断资源是否变化的指纹
revalidation | 再验证：向源站确认缓存是否仍然有效
staleness | 陈旧度：缓存内容落后源站多久
pipelining | 流水线：不等响应就连续发送多个请求
multiplexing | 多路复用：一条连接上承载多个独立流
prioritization | 优先级：决定哪个流先占用带宽
headofline | 队头阻塞的：前面一个卡住导致后面全部等待
quic | QUIC 协议的：建立在 UDP 上、内建加密与多路复用
datagram | 数据报：不保证顺序与到达的独立数据单元
stateless | 无状态的：每个请求自带全部信息，服务端不记忆
stateful | 有状态的：服务端保存了会话上下文
loadbalancer | 负载均衡器：把请求分摊到多台后端
healthcheck | 健康检查：定期探测后端是否可用
drain | 摘流：停止给某节点分配新请求并等待老请求结束
failover | 故障转移：主节点失效时自动切换
sticky | 会话保持的：把同一用户固定到同一后端
consistent | 一致性哈希的：节点增删时只影响少量键的映射
service-mesh | 服务网格的：用边车代理统一处理服务间通信
sidecar | 边车：与主服务同部署、代其处理网络事务的进程
mtls | 双向 TLS 的：客户端与服务端互相验证证书
sni | 服务器名称指示：握手时告知要访问哪个域名
alpn | 应用层协议协商：握手时确定使用哪种上层协议
